ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,,
10114,영동선,1,59.94479,60.515,0.57021,2.0859,1091.3,970,4,-2.8905,0,0,54337,99.20 ,97.20 ,98.27 ,0,,
10115,영동선,1,60.515,60.73998,0.22498,2.0859,900,742,4,0,191.3,0,54337,98.90 ,98.90 ,98.90 ,0,,
10116,영동선,1,60.73998,61.257,0.51702,-2.9233,900,742,4,5.0092,0,0,54337,98.90 ,98.40 ,98.65 ,0,,
10117,영동선,1,61.257,61.3194,0.0624,-2.9233,910,653,4,0,-10,0,54337,100.00 ,100.00 ,100.00 ,0,,
10118,영동선,1,61.3194,61.91,0.5906,-2.3345,910,653,4,-0.5888,0,0,54337,97.80 ,97.80 ,97.80 ,0,,
10119,영동선,1,61.91,62.472,0.562,-2.3345,1000,570,4,0,-90,0,54337,98.80 ,98.10 ,98.47 ,0,,
10120,영동선,1,62.472,62.48,0.008,-2.818,1000,570,4,0.4835,0,0,54337,100.00 ,100.00 ,100.00 ,0,,
10121,영동선,1,62.48,62.63,0.15,-2.818,0,150,4,0,1000,0,54337,98.70 ,98.70 ,98.70 ,0,,
10122,영동선,1,62.63,63,0.37,-2.818,1060,370,4,0,-1060,0,54337,98.70 ,98.00 ,98.34 ,0,,
10123,영동선,1,63,63.295,0.295,-2.818,0,295,4,0,1060,0,54337,99.10 ,97.70 ,98.44 ,0,,
10124,영동선,1,63.295,63.42397,0.12897,-2.818,2100,869.451,4,0,-2100,0,54337,98.00 ,97.60 ,97.77 ,0,,
10125,영동선,1,63.42397,64.09163,0.66766,2.9838,2100,869.451,4,-5.8018,0,0,54337,98.80 ,98.40 ,98.60 ,0,,
10126,영동선,1,64.09163,64.164451,0.072821,-2.9714,2100,869.451,4,5.9552,0,0,54337,100.00 ,100.00 ,100.00 ,0,,
10127,영동선,1,64.164451,64.975,0.810549,-2.9714,0,810.549,4,0,2100,0,54337,98.50 ,97.90 ,98.13 ,0,,
10128,영동선,1,64.975,65.29871,0.32371,-2.9714,741.8,915,4,0,-741.8,0,54337,98.70 ,98.10 ,98.52 ,0,,
10129,영동선,1,65.29871,65.79739,0.49868,1.4902,741.8,915,4,-4.4616,0,0,54337,98.30 ,98.00 ,98.14 ,0,,
10130,영동선,1,65.79739,65.89,0.09261,-2.4425,741.8,915,4,3.9327,0,0,54337,98.20 ,98.20 ,98.20 ,0,,
10131,영동선,1,65.89,66.165,0.275,-2.4425,0,275,4,0,741.8,0,54337,98.20 ,98.10 ,98.13 ,0,,
10132,영동선,1,66.165,66.29642,0.13142,-2.4425,1091.3,1185,4,0,-1091.3,0,54337,98.30 ,98.20 ,98.25 ,0,,
10133,영동선,1,66.29642,66.78115,0.48473,0.6508,1091.3,1185,4,-3.0933,0,0,54337,98.40 ,98.20 ,98.33 ,0,,
10134,영동선,1,66.78115,67.35,0.56885,-1.431,1091.3,1185,4,2.0818,0,0,54337,98.60 ,98.30 ,98.40 ,0,,
10135,영동선,1,67.35,67.503439,0.153439,-1.431,3000,153.439,4,0,-1908.7,0,54337,98.70 ,98.70 ,98.70 ,0,,
10136,영동선,1,67.503439,67.67965,0.176211,-1.431,4800,245.064,4,0,-1800,0,52635,98.70 ,98.70 ,98.70 ,0,,
10137,영동선,1,67.67965,67.748503,0.068853,0.9555,4800,245.064,4,-2.3865,0,0,52635,98.50 ,98.50 ,98.50 ,0,,
10138,영동선,1,67.748503,68.25018,0.501677,0.9555,0,2241.497,4,0,4800,0,52635,98.90 ,97.80 ,98.39 ,0,,
10139,영동선,1,68.25018,68.85269,0.60251,2.2162,0,2241.497,4,-1.2607,0,0,52635,98.70 ,96.60 ,98.07 ,0,,
10140,영동선,1,68.85269,69.31131,0.45862,0.3092,0,2241.497,4,1.907,0,0,52635,98.40 ,98.20 ,98.30 ,0,,
10141,영동선,1,69.31131,69.99,0.67869,1.3811,0,2241.497,4,-1.0719,0,0,52635,99.00 ,98.20 ,98.45 ,0,,
10142,영동선,1,69.99,70.559868,0.569868,1.3811,3000,569.868,4,0,-3000,0,52635,98.80 ,82.20 ,96.23 ,0,,
10143,영동선,1,70.559868,70.59426,0.034392,1.3811,0,545.132,4,0,3000,0,52635,100.00 ,100.00 ,100.00 ,0,,
10144,영동선,1,70.59426,71.105,0.51074,-2.9603,0,545.132,4,4.3414,0,0,52635,74.20 ,63.30 ,67.13 ,0,,
10145,영동선,1,71.105,71.47619,0.37119,-2.9603,1000,935,4,0,-1000,0,52635,69.90 ,67.70 ,68.87 ,0,,
10146,영동선,1,71.47619,71.83943,0.36324,-0.5002,1000,935,4,-2.4601,0,0,52635,69.60 ,67.50 ,68.50 ,0,,
10147,영동선,1,71.83943,72.04,0.20057,-2.4465,1000,935,4,1.9463,0,0,52635,66.90 ,66.60 ,66.75 ,0,,
10148,영동선,1,72.04,72.565,0.525,-2.4465,0,525,4,0,1000,0,52635,71.00 ,65.00 ,66.99 ,0,,
10149,영동선,1,72.565,72.6067,0.0417,-2.4465,1350,365,4,0,-1350,0,52635,81.20 ,81.20 ,81.20 ,0,,
10150,영동선,1,72.6067,72.93,0.3233,-1.2079,1350,365,4,-1.2386,0,0,52635,96.70 ,91.50 ,94.10 ,0,,
10151,영동선,1,72.93,73.12088,0.19088,-1.2079,980,450,4,0,370,0,74480,97.90 ,97.90 ,97.90 ,0,,
10152,영동선,1,73.12088,73.38,0.25912,0.9204,980,450,4,-2.1283,0,0,74480,98.40 ,98.20 ,98.30 ,0,,
10153,영동선,1,73.38,73.67939,0.29939,0.9204,1250,530,4,0,-270,0,74480,98.60 ,97.70 ,98.15 ,0,,
10154,영동선,1,73.67939,73.91,0.23061,0.9487,1250,530,4,-0.0283,0,0,74480,91.30 ,79.80 ,85.55 ,0,,
10155,영동선,1,73.91,73.94,0.03,0.9487,1250,535,4,0,0,0,74480,100.00 ,100.00 ,100.00 ,0,,
10156,영동선,1,73.94,74.445,0.505,-0.9488,1250,535,4,1.8975,0,0,74480,98.30 ,91.10 ,95.40 ,0,,
10157,영동선,1,74.445,74.92,0.475,-0.9488,0,2100,4,0,1250,0,74480,98.50 ,98.00 ,98.27 ,0,,
10158,영동선,1,74.92,76.545,1.625,1.3645,0,2100,4,-2.3133,0,0,74480,100.00 ,98.00 ,105.38 ,0,,
10159,영동선,1,76.545,77.038,0.493,1.3645,4107.3,493,4,0,-4107.3,0,74480,100.00 ,98.40 ,103.35 ,0,,
10160,영동선,1,77.038,77.23755,0.19955,1.3645,0,354,4,0,4107.3,0,74480,100.00 ,104.30 ,106.47 ,0,,
10161,영동선,1,77.23755,77.392,0.15445,-1.3876,0,354,4,2.7521,0,0,74480,100.00 ,107.50 ,107.55 ,0,,
10162,영동선,1,77.392,77.65122,0.25922,-1.3876,2204,1133,4,0,-2204,0,74480,100.00 ,107.80 ,108.25 ,0,,
10163,영동선,1,77.65122,78.03021,0.37899,-0.428,2204,1133,4,-0.9596,0,0,74480,100.00 ,107.00 ,108.04 ,0,,
10164,영동선,1,78.03021,78.525,0.49479,2.5911,2204,1133,4,-3.0191,0,0,74480,100.00 ,107.50 ,108.14 ,0,,
10165,영동선,1,78.525,78.58626,0.06126,2.5911,0,2755,4,0,2204,0,55453,100.00 ,100.00 ,100.00 ,0,,
10166,영동선,1,78.58626,79.18262,0.59636,-1.9686,0,2755,4,4.5597,0,0,55453,100.00 ,107.30 ,107.68 ,0,,
10167,영동선,1,79.18262,79.85691,0.67429,-1.2962,0,2755,4,-0.6724,0,0,55453,100.00 ,107.80 ,108.13 ,0,,
10168,영동선,1,79.85691,80.71951,0.8626,-1.1083,0,2755,4,-0.1879,0,0,55453,100.00 ,97.60 ,105.07 ,0,,
10169,영동선,1,80.71951,81.28,0.56049,-0.3167,0,2755,4,-0.7916,0,0,55453,100.00 ,107.30 ,108.02 ,0,,
10170,영동선,1,81.28,81.55,0.27,-0.3167,1693.2,1090,4,0,-1693.2,0,55453,100.00 ,108.10 ,108.30 ,0,,
10171,영동선,1,81.55,82.37,0.82,0.3091,1693.2,1090,4,-0.6258,0,0,55453,100.00 ,107.80 ,108.08 ,0,,
10172,영동선,1,82.37,83.1,0.73,-1.7628,1051,898,4,2.0719,642.2,0,55453,100.00 ,107.70 ,107.70 ,0,,
10173,영동선,1,83.1,83.268,0.168,-0.3096,1051,898,4,-1.4532,0,0,55453,100.00 ,100.00 ,100.00 ,0,,
10174,영동선,1,83.268,83.79112,0.52312,-0.3096,0,1882,4,0,1051,0,55453,100.00 ,107.70 ,107.80 ,0,,
10175,영동선,1,83.79112,84.052,0.26088,0.5569,0,1882,4,-0.8665,0,0,55453,100.00 ,108.10 ,108.10 ,0,,
10176,영동선,1,84.052,84.34129,0.28929,1.745,0,1882,4,-1.1881,0,0,55453,100.00 ,108.40 ,108.40 ,0,,
10177,영동선,1,84.34129,85.15,0.80871,-0.7388,0,1882,4,2.4838,0,0,55453,100.00 ,108.40 ,108.60 ,0,,
10178,영동선,1,85.15,85.26866,0.11866,-0.7388,1040,380,4,0,-1040,0,55453,100.00 ,108.30 ,108.30 ,0,,
10179,영동선,1,85.26866,85.53,0.26134,1.0349,1040,380,4,-1.7737,0,0,55453,100.00 ,108.50 ,108.50 ,0,,
10180,영동선,1,85.53,85.723,0.193,1.0349,0,1130,4,0,1040,0,55453,100.00 ,108.50 ,108.50 ,0,,
10181,영동선,1,85.723,85.96787,0.24487,-1.123,0,1130,4,2.1579,0,0,55453,100.00 ,108.50 ,108.50 ,0,,
10182,영동선,1,85.96787,86.31209,0.34422,0.7147,0,1130,4,-1.8377,0,0,55453,100.00 ,108.30 ,108.40 ,0,,
10183,영동선,1,86.31209,86.52949,0.2174,0.5004,0,1130,4,0.2143,0,0,55453,100.00 ,108.30 ,108.30 ,0,,
